leiden,cell_type,confidence,evidence_notes,cell_count,top_filtered_markers,best_reference_program,best_reference_overlap
0,Classical monocytes,high,"LYZ, S100A8, S100A9, S100A12, FCN1, CTSS, TYROBP and LST1 support an S100-high classical-monocyte program",188,"RP11-1143G9.4, S100A8, LYZ, FTL, S100A9, FTH1, S100A6, CTSS, TYROBP, S100A12, MNDA, GPX1, LST1, MT-CO2, CST3",CD14 monocyte,1.0
1,Classical monocytes,high,"LYZ, FCN1, S100A8, S100A9, CTSS, TYROBP, CSTA, MNDA and LST1 support classical-monocyte identity; higher RNA complexity distinguishes this state from cluster 0",735,"LYZ, CST3, S100A9, FCN1, GPX1, S100A8, S100A6, TYROBP, CSTA, RP11-1143G9.4, CTSS, FTL, LGALS1, MNDA, LST1",CD14 monocyte,1.0
2,IL7R+ memory/helper T cells,high,"CD3D, CD3E and TRAC establish T-cell identity; IL7R, LTB, AQP3, ITGB1 and CD2 support an IL7R-positive memory/helper program",440,"IL32, LTB, IL7R, TRAC, LDHB, ITGB1, CD2, CD3D, HSPA8, HLA-A, AQP3, GSTK1, CRIP1, ANXA1, TRADD",Naive/helper T,0.8571428571428571
3,Activated/transitional T cells,moderate,"CD3D, CD3E, TRAC and LTB establish T-cell identity; FOS, JUN, JUNB, DUSP1, CD69, FOSB and SOCS3 support an immediate activation/stress-response state. After excluding RPL/RPS/MT features, 930 of 1,075 cells remained together and formed 98.9% of their destination cluster, supporting a distinct community rather than a ribosomal artifact",1075,"RPL32, RPS6, RPL21, RPL31, RPS14, RPL34, RPS3A, RPS15A, RPL35A, RPS25, RPS13, RPS27, RPS12, RPL3, RPS27A",Naive/helper T,0.7142857142857143
4,Cytotoxic CD8 T cells,high,"CD3D and CD3E establish T-cell identity; CCL5, NKG7, GZMA, GZMK, CTSW, CST7, CD8A and CD8B support a cytotoxic CD8 T-cell program",588,"CCL5, IL32, HLA-B, NKG7, B2M, HLA-C, GZMA, CST7, HLA-A, CTSW, LYAR, GZMK, CD3D, TRGC2, HCST",Cytotoxic T,1.0
5,Dendritic cells,high,"LILRA4, JCHAIN, IRF7, PLD4, GZMB, IRF8 and ITM2C support a rare plasmacytoid dendritic population; the cluster remains intact after doublet removal and no-ribosomal/MT sensitivity analysis",34,"SEC61B, LILRA4, IRF7, PLD4, JCHAIN, IRF8, ITM2C, C12orf75, LRRC26, ALOX5AP, PLAC8, PPP1R14B, CCDC50, MZB1, TXN",Dendritic,0.25
6,B cells,high,"CD79A, CD79B, MS4A1, CD74, CD37, HLA-DRA, HLA-DPA1, IGHM and IGHD support a coherent B-cell program",592,"CD79A, CD74, CD79B, MS4A1, CD37, HLA-DPA1, HLA-DQB1, HLA-DRA, HLA-DPB1, IGHM, HLA-DRB1, IGHD, HLA-DQA1, BANK1, HLA-DMA",B,1.0
7,NK cells,high,"NKG7, GNLY, KLRD1, KLRF1, PRF1, GZMB, CTSW and HOPX support a strong natural-killer cytotoxic program with comparatively weak T-cell receptor expression",181,"NKG7, GNLY, CTSW, HOPX, KLRF1, PRF1, KLRD1, GZMA, CST7, GZMB, HLA-C, HLA-B, HLA-A, CD7, B2M",NK,1.0
8,Naive/resting T cells,moderate,"CD3D, CD3E and TRAC establish T-cell identity; CCR7, MAL, IL7R, LTB and GIMAP7 support a naive/resting program with less FOS/JUN activation than cluster 3. After excluding RPL/RPS/MT features, 179 of 192 cells remained together in a destination separate from cluster 3, supporting an independent community",192,"RPS14, RPS6, RPS12, RPL32, RPS27, MALAT1, RPL31, RPS15A, RPL30, RPS25, RPS29, RPL11, LDHB, RPS3, RPL3",Naive/helper T,1.0
9,CD16+ non-classical monocytes,high,"FCGR3A, LST1, FCER1G, MS4A7, SERPINA1, LILRB1, AIF1, CTSS and IFITM3 support a CD16-positive non-classical-monocyte program",106,"COTL1, LST1, FCGR3A, SAT1, AIF1, PSAP, FTH1, SERPINA1, FCER1G, MS4A7, CD68, LINC01272, IFITM3, SPI1, NAP1L1",FCGR3A monocyte,0.6666666666666666
