figure_number,figure_name,source_files,output_files,status,notes
1,Final annotated UMAP,data/processed/pbmc3k_phase3_annotated.h5ad; results/tables/leiden_9_cell_type_annotations.csv,,SKIPPED,unhashable type: 'list'
2,Cluster and cell-type composition,data/processed/pbmc3k_phase3_annotated.h5ad; results/tables/leiden_9_cell_type_annotations.csv,results/phase9/figure_2_cluster_cell_counts.png; results/phase9/figure_2_cluster_percentages.png; results/phase9/cluster_composition.csv,COMPLETE,"Counts and percentages sum to 2,638 cells and 100.0%."
3,Representative marker-gene heatmap,data/processed/pbmc3k_phase3_annotated.h5ad; results/phase6/selected_marker_genes.csv,results/phase9/figure_3_marker_gene_heatmap.png; results/phase9/figure_3_marker_gene_heatmap.svg; results/phase9/figure_3_marker_gene_heatmap.pdf; results/phase9/marker_gene_heatmap_matrix.csv,COMPLETE,Plotted 78 deduplicated Phase 6 genes as gene-wise z-scores of cluster averages.
4,Marker specificity summary,results/phase6/selected_marker_genes.csv,results/phase9/figure_4_marker_specificity.png; results/phase9/marker_specificity_summary.csv,COMPLETE,Top five saved representative markers per cluster; bar length is the stored marker score.
5,Machine-learning model comparison,results/tables/classification_model_comparison.csv,results/phase9/figure_5_model_comparison.png; results/phase9/figure_5_model_comparison.svg; results/phase9/figure_5_model_comparison.pdf; results/phase9/model_comparison_summary.csv,COMPLETE,XGBoost is the Phase 5 validation-selected model (saved rank 1).
6,Confusion matrix for the best classifier,results/tables/classification_model_comparison.csv; results/tables/classification_test_predictions.csv; results/tables/classification_heldout_predictions.csv; results/tables/classification_predictions.csv,,SKIPPED,"Phase 5 did not save held-out true labels and predictions. Regenerating the split or retraining/rerunning a classifier is prohibited, so counts and normalized confusion matrices cannot be produced without fabrication."
7,Phase 8 biological reasoning summary,results/phase8/all_clusters_summary.csv,results/phase9/figure_7_biological_reasoning_summary.png; results/phase9/biological_reasoning_summary.csv,COMPLETE,Qualitative support and confidence retain their validated category labels; all status labels are displayed.
8,Evidence and validation overview,results/phase6/selected_marker_genes.csv; results/phase7/literature_summary.csv; results/phase7/references.csv; results/phase7/phase7_coverage_summary.csv; results/phase7/evidence_reuse_report.csv; results/phase7/phase7_validation_report.json; results/phase8/all_clusters_summary.csv,results/phase9/figure_8_evidence_validation_overview.png,COMPLETE,All calculated totals match the expected project totals.
9,Complete project pipeline diagram,notebooks/01_explore_all_pbmc3k_files.ipynb; notebooks/02_qc_preprocessing.ipynb; notebooks/03_eda_clustering.ipynb; notebooks/04_marker_gene_discovery.ipynb; notebooks/05_classification_model_comparison.ipynb; notebooks/06_cluster_biological_interpretation.ipynb; notebooks/07_literature_integration.ipynb; notebooks/08_evidence_grounded_biological_reasoning.ipynb; results/phase8/all_clusters_summary.csv,results/phase9/figure_9_complete_pipeline.png; results/phase9/figure_9_complete_pipeline.svg; results/phase9/figure_9_complete_pipeline.pdf,COMPLETE,"Computational analysis, literature integration, reasoning, and validation are explicitly separated."
10,Cluster summary table,results/phase6/selected_marker_genes.csv; results/phase8/all_clusters_summary.csv,results/phase9/figure_10_cluster_summary_table.png; results/phase9/figure_10_cluster_summary_table.pdf; results/phase9/final_cluster_summary.csv,COMPLETE,Top five Phase 6 representative markers are shown for each validated Phase 8 cluster.
